,input,filtered,denoised,merged,tabled,nonchim
1250,20890,20552,20487,20316,20052,20028
1251,43038,42434,42190,41714,36374,36358
1252,33202,32800,32668,32414,32313,31950
1253,12968,12809,12654,12520,12220,12220
1254,15568,15226,14838,14064,13406,13394
neg,2157,2114,2036,1873,1581,1581
1190,47819,47220,46768,45061,42639,42558
1191,23534,23042,22955,22719,22195,22195
1192,10684,10473,10328,10141,9598,9598
1193,58708,58075,54862,46470,46456,46174
1194,57638,57042,56861,56387,50560,50542
1196,7022,6846,6782,6699,6257,6257
1197,24796,23917,23590,23228,22756,22756
1198,19326,18883,18552,18105,14120,14079
1199,12322,12187,12104,11920,11786,11786
1200,10278,10026,9856,9728,9397,9397
1201,36586,36136,36043,35743,34951,34950
1202,39800,38895,38697,38292,36854,36824
1203,29733,29183,29100,28811,28306,28306
1204,48590,48003,47868,47486,44165,44030
1205,26170,25776,25705,25555,24884,24884
1206,15601,15294,15141,14959,14755,14755
1207,7204,7075,6684,5974,5974,5806
1208,29254,28755,26917,22909,22726,22711
1209,31365,31030,30901,30625,29658,29658
1221,17620,17371,16216,13427,13421,12132
1222,10038,9780,9628,9523,8858,8858
1223,45509,44967,44804,44515,41266,41231
1225,32137,31773,31521,31060,29507,29395
1226,24864,24577,24434,24243,22457,22457
1227,18143,17854,17666,17146,17014,16902
1228,10166,9929,9793,9558,8829,8741
1230,59205,58562,58350,57313,53821,53786
1231,29442,28929,28878,28573,28237,28218
1232,47977,47359,47248,46827,45838,45822
1233,41103,40511,38226,31338,30149,30016
1234,32101,31585,30175,26831,26700,26403
1235,11826,11646,11423,11004,10743,10743
1236,16513,16241,14886,12712,12608,12608
1237,11062,10812,10403,9696,9621,9621
1238,11092,10772,10637,10317,9733,9731
1140,58654,57877,57091,54979,54653,54533
1141,26280,25937,25250,23825,23814,22728
1142,47819,47253,47085,46627,46564,46306
1143,10219,9973,9767,9555,7775,7775
1144,19563,19246,18970,18228,17357,17357
1145,8375,8236,7995,7688,7472,7472
1146,4654,4481,4291,4022,3779,3779
1147,10480,10246,10171,10095,10015,10015
1149,7653,7272,7198,7053,5804,5804
1170,27103,26766,26677,26458,26086,26086
1171,7555,7365,7269,6967,6857,6857
1172,34997,34308,34232,33980,33484,33484
1173,38517,38071,36991,35005,34169,34124
1174,39438,38766,38641,38111,35572,35572
1175,48272,47670,47470,46995,42500,42475
1176,26820,26553,26186,25611,25505,25489
1177,26416,25928,25335,24242,24015,24013
1178,31666,31085,30916,30652,29877,29877
1179,22049,21697,21372,20846,19977,19977
1070,22755,22403,22068,21130,20644,20644
1071,13322,12963,12601,12365,10905,10905
1072,23301,22823,22764,22669,22420,22420
1073,35705,35298,35175,34673,33715,33686
1074,31743,31302,28883,23340,23331,23120
1075,15502,15138,14916,14712,9943,9911
1076,32114,31705,29829,26262,26262,26186
1077,29083,28626,27803,25130,25130,24496
1078,35078,34620,34558,34416,32789,32760
1079,51221,50815,50470,49689,49088,49022
1080,10676,10490,10397,10213,9962,9962
1081,42379,41857,40494,36354,36187,35568
1082,46806,46162,44662,39808,39700,39642
1083,19040,18772,18542,17998,17683,17656
1084,37624,37138,36996,36624,35737,35695
1085,9661,9498,9343,9065,8880,8879
1086,16239,15983,15937,15877,15808,15808
1088,8946,8784,8653,8414,8246,8246
1089,42781,42036,40998,38032,37699,37564
1100,42943,42459,42352,42105,41355,41306
1101,59689,58876,58178,55408,55367,52108
1102,77884,77154,75453,69183,68621,68361
1103,35403,34997,34900,34654,33908,33890
1106,28327,27734,27401,26951,22355,22330
1108,51488,51014,50917,50484,50031,50031
1109,35815,35265,35089,34817,32352,32352
1110,16439,16124,15152,13541,13393,13393
1111,26894,26551,26400,25989,25387,25369
1112,17976,17349,17102,16785,13711,13711
1113,33723,33282,33179,33028,32260,32260
1114,43452,43090,43004,42814,42077,42063
1115,24936,24640,23097,20053,19671,19509
1116,33926,33490,33401,33244,32225,32218
1117,34095,33667,33576,33084,32346,32346
1118,62640,61786,61691,61025,59754,59307
1119,8514,8336,8252,8217,8055,8055
