,input,filtered,denoised,merged,tabled,nonchim
neg,2156,2008,1913,1776,1540,1540
1190,47814,45468,45039,43616,41422,41389
1191,23529,21042,20957,20786,20319,20319
1192,10681,9775,9635,9477,9294,9294
1193,58694,56323,53131,45785,45772,45567
1194,57617,55023,54760,54285,48924,48906
1196,7018,6278,6215,6114,5949,5949
1197,24792,19636,19463,19166,18798,18798
1198,19316,17681,17397,16714,13707,13666
1199,12321,11715,11636,11493,11369,11369
1200,10274,9658,9513,9390,9120,9120
1201,36581,34624,34555,34165,33601,33600
1202,39790,34040,33891,33384,32169,32169
1203,29728,27202,27122,26887,26435,26435
1204,48578,46222,46089,45626,42546,42468
1205,26164,24787,24720,24555,23920,23920
1206,15597,14169,14016,13840,13744,13744
1207,7204,6742,6386,5630,5630,5587
1208,29247,27632,25832,22297,22156,22156
1209,31355,29909,29707,29363,28485,28485
947,50604,47823,45313,40079,40079,40011
948,124852,112823,112415,110983,110971,110327
949,25294,22620,22527,22247,22155,22152
950,42342,38251,38100,37844,37809,37787
951,135206,117183,117077,114944,114705,114557
952,41224,38093,38022,37741,37669,37609
953,51529,45683,45518,45093,44836,44836
955,89844,75311,75216,74358,73965,73941
956,41891,38277,36225,31938,31915,31611
957,86579,73626,73328,72586,71891,70619
958,41442,39543,38199,35793,35444,35429
959,60015,54505,52638,48599,48596,48373
960,216966,182949,180208,172104,171970,171004
961,46344,43948,41666,36838,36830,36810
962,69086,60878,58254,52260,51771,51510
963,46518,37698,37264,36568,36546,36542
964,28016,26078,24592,22143,21960,21952
965,35803,30381,30240,30043,29074,29074
976,55415,50068,49393,47846,47839,47612
977,19271,17048,17020,16978,16946,16946
978,66185,57097,57021,55920,55768,55750
979,50824,48588,47918,46579,46252,46245
980,30509,26223,26163,26045,25973,25908
981,57098,47171,47122,46920,46884,46850
982,42452,38777,38700,38544,38497,38497
983,75972,68879,68809,68684,68288,68231
984,82051,67084,66808,66329,62510,62510
985,42242,36767,36637,36564,35569,35569
986,22454,19684,19609,19503,19490,19481
988,57588,52452,51322,48860,48751,48751
989,22524,21518,20599,19337,19258,19258
