sample_num,full_site,site,zone,site_zone,sample,spp,year,time,season,seq_run
1,E Sambo,LK1,Offshore,LK1-O,LK1-O_1,ssid,2015,Pre,Spring,run1
2,E Sambo,LK1,Offshore,LK1-O,LK1-O_2,ssid,2015,Pre,Spring,run1
3,E Sambo,LK1,Offshore,LK1-O,LK1-O_3,ssid,2015,Pre,Spring,run1
4,E Sambo,LK1,Offshore,LK1-O,LK1-O_4,ssid,2015,Pre,Spring,run1
5,E Sambo,LK1,Offshore,LK1-O,LK1-O_5,ssid,2015,Pre,Spring,run1
6,E Sambo,LK1,Offshore,LK1-O,LK1-O_6,ssid,2015,Pre,Spring,run1
7,E Sambo,LK1,Offshore,LK1-O,LK1-O_7,ssid,2015,Pre,Spring,run1
8,E Sambo,LK1,Offshore,LK1-O,LK1-O_8,ssid,2015,Pre,Spring,run1
10,E Sambo,LK1,Offshore,LK1-O,LK1-O_10,ssid,2015,Pre,Spring,run1
21,E Sambo,LK1,Offshore,LK1-O,LK1-O_21,srad,2015,Pre,Spring,run1
22,E Sambo,LK1,Offshore,LK1-O,LK1-O_22,srad,2015,Pre,Spring,run1
23,E Sambo,LK1,Offshore,LK1-O,LK1-O_23,srad,2015,Pre,Spring,run1
24,E Sambo,LK1,Offshore,LK1-O,LK1-O_24,srad,2015,Pre,Spring,run1
25,E Sambo,LK1,Offshore,LK1-O,LK1-O_25,srad,2015,Pre,Spring,run1
26,E Sambo,LK1,Offshore,LK1-O,LK1-O_26,srad,2015,Pre,Spring,run1
27,E Sambo,LK1,Offshore,LK1-O,LK1-O_27,srad,2015,Pre,Spring,run1
28,E Sambo,LK1,Offshore,LK1-O,LK1-O_28,srad,2015,Pre,Spring,run1
29,E Sambo,LK1,Offshore,LK1-O,LK1-O_29,srad,2015,Pre,Spring,run1
30,E Sambo,LK1,Offshore,LK1-O,LK1-O_30,srad,2015,Pre,Spring,run1
31,Rocky Top,UK1,Offshore,UK1-O,UK1-O_31,ssid,2015,Pre,Spring,run1
32,Rocky Top,UK1,Offshore,UK1-O,UK1-O_32,ssid,2015,Pre,Spring,run1
33,Rocky Top,UK1,Offshore,UK1-O,UK1-O_33,ssid,2015,Pre,Spring,run1
35,Rocky Top,UK1,Offshore,UK1-O,UK1-O_35,ssid,2015,Pre,Spring,run1
