,input,filtered,denoised,merged,tabled,nonchim
1250,20890,20552,20488,20316,20052,20028
1251,43038,42434,42213,41770,36430,36414
1252,33202,32800,32667,32414,32313,31950
1253,12968,12809,12654,12520,12220,12220
1254,15568,15226,14849,14064,13406,13394
neg,2157,2114,2036,1876,1584,1584
neg1,49147,47566,47491,47171,23142,23011
neg2,52037,46021,45374,42663,18309,18164
neg3,38935,38518,38358,37845,14557,12895
neg4,184,183,179,176,176,176
neg5,2061,2015,2012,2012,2012,2012
1190,47819,47220,46783,45066,42644,42612
1191,23534,23042,22955,22728,22204,22204
1192,10684,10473,10328,10141,9598,9598
1193,58708,58075,54867,46459,46445,46129
1194,57638,57042,56861,56386,50559,50541
1196,7022,6846,6781,6699,6257,6257
1197,24796,23917,23590,23228,22756,22756
1198,19326,18883,18552,18105,14120,14079
1199,12322,12187,12104,11920,11786,11786
1200,10278,10026,9809,9680,9349,9349
1201,36586,36136,36053,35737,34945,34944
1202,39800,38895,38697,38292,36854,36824
1203,29733,29183,29099,28812,28307,28307
1204,48590,48003,47867,47485,44164,44029
1205,26170,25776,25705,25555,24884,24884
1206,15601,15294,15139,14959,14755,14755
1207,7204,7075,6685,5973,5973,5805
1208,29254,28755,26913,22896,22713,22704
1209,31365,31030,30901,30626,29659,29628
947,50608,49990,47487,40893,40893,40744
948,124864,122377,121948,120538,120412,119645
949,25299,24857,24752,24499,23432,23403
950,42358,41520,41370,41156,40826,40790
951,135244,131663,131543,130975,130350,130177
952,41227,40633,40561,40264,39553,39471
953,51556,50546,50372,49793,48911,48911
955,89904,87175,86995,86021,84650,84461
956,41897,41019,38972,33888,33587,33161
957,86595,83997,83643,81733,80858,79494
958,41452,40950,39572,36779,36343,36343
959,60027,58805,56811,51767,51582,51329
960,217020,209285,206471,195677,194335,192734
961,46353,45761,43503,37978,37919,37918
962,69099,67343,64492,57055,56457,56146
963,46532,44754,44145,43233,43149,43130
964,28017,27590,26096,23241,23017,23008
965,35822,35163,35027,34731,31101,31085
976,55441,54214,53520,51412,51268,51045
977,19278,18851,18789,18762,18569,18569
978,66203,64414,64345,63975,63646,63606
979,50832,50252,49558,47874,47404,47375
980,30517,29755,29662,29557,29044,28955
981,57113,55194,55143,54926,54653,54574
982,42458,41728,41663,41466,41196,41192
983,76007,74899,74847,74628,72597,72575
984,82089,79760,79384,78295,69944,69921
985,42270,41522,41379,41283,37675,37664
986,22459,21935,21879,21778,21581,21571
988,57596,56486,55299,52074,51775,51770
989,22527,22243,21287,19830,19609,19609
990,54228,53415,51895,48326,48290,48116
991,132586,129570,127326,119823,119130,118954
992,73829,72970,71486,68187,67604,67539
993,30008,29328,29099,28550,28008,28007
994,173196,168447,165762,157193,156578,156066
995,66317,65570,64935,63277,62826,62182
996,38750,37903,36249,32833,32733,32733
1,78178,77058,76390,74328,74253,74247
10,58285,57400,55790,50720,50269,50236
1221,17620,17371,16228,13416,13410,12222
1222,10038,9780,9628,9523,8858,8858
1223,45509,44967,44804,44515,41266,41231
1225,32137,31773,31545,31058,29505,29393
1226,24864,24577,24433,24243,22457,22457
1227,18143,17854,17664,17144,17012,16864
1228,10166,9929,9758,9523,8794,8706
1230,59205,58562,58345,57307,53815,53780
1231,29442,28929,28878,28573,28237,28218
1232,47977,47359,47248,46826,45837,45821
1233,41103,40511,38220,31319,30130,30034
1234,32101,31585,30178,26815,26684,26387
1235,11826,11646,11430,11004,10743,10743
1236,16513,16241,14891,12699,12595,12595
1237,11062,10812,10413,9693,9618,9618
1238,11092,10772,10632,10317,9733,9731
2,83210,81459,81233,80853,80222,80222
21,76480,75002,72116,63533,63410,63086
22,109234,106698,102495,88701,88326,88265
23,114402,113039,109735,99909,98897,98746
24,45640,44989,43853,41406,40753,40700
25,159532,155908,154508,147419,146656,146470
26,73092,72277,69881,63344,61204,61096
27,52012,50661,48784,44227,44100,44060
28,216451,209600,206469,195079,194531,194238
29,70627,69397,66817,59435,59103,59086
3,56163,55316,54932,54027,50444,50444
30,113248,111576,109340,103425,103387,103028
4,63928,62685,61013,55870,55805,55765
5,231958,227184,223212,208728,207468,206764
6,64969,63680,63415,62315,61270,61210
7,122025,119269,118054,112303,111883,111481
8,119101,111222,110713,109912,107112,106252
916,43054,39422,39146,38904,37614,37559
917,44072,43444,43145,42303,40310,40284
918,59354,58463,57348,54784,53981,53876
919,144292,140773,140361,138662,137317,136230
921,32754,32087,31964,31755,24608,24608
922,36488,35759,35686,35435,34445,34445
923,91485,89276,89147,88594,87633,86886
924,69857,69294,68118,65286,64906,64664
925,31485,30520,30441,30300,30153,30078
926,32224,31726,30418,26686,26418,26235
927,114222,112769,109882,101468,100596,100378
928,60997,59874,58244,53241,53226,53184
929,54473,53692,53418,52471,52028,50181
930,31242,30652,29770,27017,26818,26814
931,101350,98870,98239,96686,94875,94847
932,53618,52664,52451,52142,43972,43960
933,89958,88673,86774,81680,74212,74164
934,108673,106670,105683,103405,103316,103267
935,27792,27526,27232,26695,26611,26611
943,56231,53613,53526,53360,53360,53255
1140,58654,57877,57090,54953,54627,54479
1141,26280,25937,25354,23921,23910,22954
1142,47819,47253,47084,46629,46566,46345
1143,10219,9973,9769,9554,7774,7774
1144,19563,19246,18965,18229,17358,17358
1145,8375,8236,7999,7691,7475,7475
1146,4654,4481,4291,4022,3779,3772
1147,10480,10246,10171,10095,10015,10015
1149,7653,7272,7198,7053,5804,5804
61,56617,55522,55464,55270,53307,53277
62,31135,29941,29875,29713,29319,29319
63,72837,69625,69135,68233,65787,65696
64,38891,38033,37956,37781,36692,36676
65,32783,30683,30628,30494,29909,29909
66,89916,83540,83443,82978,81819,81684
67,34607,33593,33454,33107,30923,30908
68,55367,53813,53620,52888,50862,50787
69,145150,138711,138519,137459,132408,131998
70,78312,77032,76981,76719,74713,74444
701,59978,54928,54644,53126,50917,50769
702,33671,32857,32673,32275,31323,31260
703,9909,9752,9669,9519,9488,9488
704,85688,83091,82962,82487,82099,82085
705,26888,26257,26242,26041,26041,26041
706,26588,26006,25946,25739,25216,25216
707,48804,47357,47208,46628,46218,46218
708,45235,44276,44170,43840,38768,38737
709,30585,30072,30050,29826,28953,28939
710,62280,60972,59352,54120,54038,53951
711,60036,57927,57815,56809,56502,56267
725,48441,47441,47141,45959,38997,38997
726,82067,79449,78967,77471,70668,70622
727,37957,37457,37386,37196,36207,36161
729,54435,53214,51676,47108,46935,46893
731,55925,54757,53816,51713,51645,51636
732,45611,44633,43200,40819,40368,40347
733,64534,63550,63145,61234,60902,60762
735,150541,147753,146051,140174,139944,139649
81,81457,79997,78137,73629,73584,73583
82,139840,134867,126195,88302,87898,83277
83,65492,64739,61157,52727,52636,52514
84,48195,46451,43926,35434,35256,35230
85,46194,39980,39732,39120,39120,39120
86,55864,54917,52984,48762,48668,48557
87,43772,42708,41569,37888,37626,37569
88,175844,169502,166434,156837,155668,155656
89,25811,25013,23320,19374,19305,19305
90,25839,24931,23854,21974,21738,21738
1170,27103,26766,26677,26458,26086,26086
1171,7555,7365,7269,6967,6857,6857
1172,34997,34308,34224,33988,33492,33492
1173,38517,38071,37029,35010,34174,34137
1174,39438,38766,38641,38229,35690,35690
1175,48272,47670,47471,46994,42499,42474
1176,26820,26553,26184,25613,25507,25491
1177,26416,25928,25267,24172,23945,23939
1178,31666,31085,30915,30616,29841,29841
1179,22049,21697,21369,20845,19976,19976
31,71779,69384,69298,69039,68566,68466
32,50825,50089,49979,49763,48592,48556
33,51284,49900,49737,48771,43092,43055
35,16075,15217,15119,15012,13228,13228
36,19898,19614,19514,19203,18875,18875
37,115870,113460,113342,112682,110396,110121
38,113353,110442,110309,109896,108623,108415
39,59860,58953,58899,58688,55623,55537
40,92118,90873,90241,87519,87301,87225
51,237180,232402,228681,214602,213470,212806
52,82502,81602,79146,74148,73990,73976
53,112134,110384,107966,100689,100325,100030
54,307252,301357,296268,276450,269747,264520
55,80407,79177,78050,73666,73502,72810
56,86683,85406,84219,80176,80053,79859
57,78091,76401,73604,66064,65800,65232
58,89925,88961,86613,79957,79855,79842
59,41026,40078,38388,34434,34115,34107
60,99563,96148,94598,89147,88080,87829
761,23881,23441,23381,23224,22609,22573
762,43738,42535,42506,42408,42266,42195
763,51751,50098,49987,49780,49443,49432
764,51117,50602,50307,48588,48326,44822
765,57723,57077,56324,53878,53821,52949
766,48721,47467,47382,47201,47201,47180
767,149973,145617,145523,144705,143312,142841
768,33475,32951,32855,32662,32398,32349
769,101796,98522,98385,97971,97936,97406
770,67146,65739,65639,65239,64515,64345
771,106290,104051,102701,99644,99194,99140
772,50874,50100,49026,47201,46585,46484
1070,22755,22403,22061,21125,20639,20639
1071,13322,12963,12601,12375,10915,10915
1072,23301,22823,22764,22668,22419,22419
1073,35705,35298,35175,34660,33702,33692
1074,31743,31302,28883,23325,23316,23127
1075,15502,15138,14916,14689,9943,9911
1076,32114,31705,29830,26247,26247,26190
1077,29083,28626,27811,25120,25120,24546
1078,35078,34620,34558,34283,32656,32627
1079,51221,50815,50471,49688,49087,49021
1080,10676,10490,10397,10215,9964,9964
1081,42379,41857,40486,36354,36165,35939
