"","sample_num","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","depth"
"1190","1190","W Washer","LK1","Inshore","LK1-I","LK1-I_1190","srad","2018","Post","Fall","run2",28780,FALSE,26967
"1191","1191","W Washer","LK1","Inshore","LK1-I","LK1-I_1191","srad","2018","Post","Fall","run2",18884,FALSE,18686
"1192","1192","W Washer","LK1","Inshore","LK1-I","LK1-I_1192","srad","2018","Post","Fall","run2",5434,FALSE,5307
"1193","1193","W Washer","LK1","Inshore","LK1-I","LK1-I_1193","srad","2018","Post","Fall","run2",33468,FALSE,33033
"1194","1194","W Washer","LK1","Inshore","LK1-I","LK1-I_1194","srad","2018","Post","Fall","run2",40466,FALSE,39112
"1196","1196","W Washer","LK1","Inshore","LK1-I","LK1-I_1196","srad","2018","Post","Fall","run2",3386,FALSE,3347
"1197","1197","W Washer","LK1","Inshore","LK1-I","LK1-I_1197","srad","2018","Post","Fall","run2",14307,FALSE,13909
"1198","1198","W Washer","LK1","Inshore","LK1-I","LK1-I_1198","srad","2018","Post","Fall","run2",9316,FALSE,8994
"1199","1199","W Washer","LK1","Inshore","LK1-I","LK1-I_1199","srad","2018","Post","Fall","run2",11076,FALSE,10930
"1200","1200","W Washer","LK1","Inshore","LK1-I","LK1-I_1200","ssid","2018","Post","Fall","run2",4049,FALSE,3806
"1201","1201","W Washer","LK1","Inshore","LK1-I","LK1-I_1201","ssid","2018","Post","Fall","run2",32087,FALSE,31581
"1202","1202","W Washer","LK1","Inshore","LK1-I","LK1-I_1202","ssid","2018","Post","Fall","run2",27826,FALSE,27622
"1203","1203","W Washer","LK1","Inshore","LK1-I","LK1-I_1203","ssid","2018","Post","Fall","run2",25494,FALSE,24711
"1204","1204","W Washer","LK1","Inshore","LK1-I","LK1-I_1204","ssid","2018","Post","Fall","run2",37137,FALSE,35983
"1205","1205","W Washer","LK1","Inshore","LK1-I","LK1-I_1205","ssid","2018","Post","Fall","run2",23401,FALSE,22972
"1206","1206","W Washer","LK1","Inshore","LK1-I","LK1-I_1206","ssid","2018","Post","Fall","run2",3257,FALSE,3169
"1207","1207","W Washer","LK1","Inshore","LK1-I","LK1-I_1207","ssid","2018","Post","Fall","run2",5277,FALSE,5277
"1208","1208","W Washer","LK1","Inshore","LK1-I","LK1-I_1208","ssid","2018","Post","Fall","run2",16662,FALSE,16499
"1209","1209","W Washer","LK1","Inshore","LK1-I","LK1-I_1209","ssid","2018","Post","Fall","run2",25962,FALSE,25192
"947","947","W Washer","LK1","Inshore","LK1-I","LK1-I_947","ssid","2017","Irma","Fall","run1",36954,FALSE,36613
"948","948","W Washer","LK1","Inshore","LK1-I","LK1-I_948","ssid","2017","Irma","Fall","run1",101658,FALSE,101503
"949","949","W Washer","LK1","Inshore","LK1-I","LK1-I_949","ssid","2017","Irma","Fall","run1",17767,FALSE,17633
"950","950","W Washer","LK1","Inshore","LK1-I","LK1-I_950","ssid","2017","Irma","Fall","run1",27115,FALSE,26715
"951","951","W Washer","LK1","Inshore","LK1-I","LK1-I_951","ssid","2017","Irma","Fall","run1",86552,FALSE,85061
