"","sample_num","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","depth"
"1190","1190","W Washer","LK1","Inshore","LK1-I","LK1-I_1190","srad","2018","Post","Fall","run2",34936,FALSE,32898
"1191","1191","W Washer","LK1","Inshore","LK1-I","LK1-I_1191","srad","2018","Post","Fall","run2",19013,FALSE,18815
"1192","1192","W Washer","LK1","Inshore","LK1-I","LK1-I_1192","srad","2018","Post","Fall","run2",7953,FALSE,7699
"1193","1193","W Washer","LK1","Inshore","LK1-I","LK1-I_1193","srad","2018","Post","Fall","run2",32412,FALSE,31440
"1194","1194","W Washer","LK1","Inshore","LK1-I","LK1-I_1194","srad","2018","Post","Fall","run2",41858,FALSE,40400
"1196","1196","W Washer","LK1","Inshore","LK1-I","LK1-I_1196","srad","2018","Post","Fall","run2",4936,FALSE,4877
"1197","1197","W Washer","LK1","Inshore","LK1-I","LK1-I_1197","srad","2018","Post","Fall","run2",13866,FALSE,13422
"1198","1198","W Washer","LK1","Inshore","LK1-I","LK1-I_1198","srad","2018","Post","Fall","run2",10941,FALSE,10597
"1199","1199","W Washer","LK1","Inshore","LK1-I","LK1-I_1199","srad","2018","Post","Fall","run2",10593,FALSE,10447
"1200","1200","W Washer","LK1","Inshore","LK1-I","LK1-I_1200","ssid","2018","Post","Fall","run2",4258,FALSE,4002
"1201","1201","W Washer","LK1","Inshore","LK1-I","LK1-I_1201","ssid","2018","Post","Fall","run2",31112,FALSE,30583
"1202","1202","W Washer","LK1","Inshore","LK1-I","LK1-I_1202","ssid","2018","Post","Fall","run2",27776,FALSE,27544
"1203","1203","W Washer","LK1","Inshore","LK1-I","LK1-I_1203","ssid","2018","Post","Fall","run2",24647,FALSE,23847
"1204","1204","W Washer","LK1","Inshore","LK1-I","LK1-I_1204","ssid","2018","Post","Fall","run2",39641,FALSE,38446
"1205","1205","W Washer","LK1","Inshore","LK1-I","LK1-I_1205","ssid","2018","Post","Fall","run2",22638,FALSE,22219
"1206","1206","W Washer","LK1","Inshore","LK1-I","LK1-I_1206","ssid","2018","Post","Fall","run2",3654,FALSE,3566
"1207","1207","W Washer","LK1","Inshore","LK1-I","LK1-I_1207","ssid","2018","Post","Fall","run2",5361,FALSE,5361
"1208","1208","W Washer","LK1","Inshore","LK1-I","LK1-I_1208","ssid","2018","Post","Fall","run2",14735,FALSE,14429
"1209","1209","W Washer","LK1","Inshore","LK1-I","LK1-I_1209","ssid","2018","Post","Fall","run2",25162,FALSE,24248
"947","947","W Washer","LK1","Inshore","LK1-I","LK1-I_947","ssid","2017","Irma","Fall","run1",34886,FALSE,34145
"948","948","W Washer","LK1","Inshore","LK1-I","LK1-I_948","ssid","2017","Irma","Fall","run1",100818,FALSE,99942
"949","949","W Washer","LK1","Inshore","LK1-I","LK1-I_949","ssid","2017","Irma","Fall","run1",19912,FALSE,19483
"950","950","W Washer","LK1","Inshore","LK1-I","LK1-I_950","ssid","2017","Irma","Fall","run1",28490,FALSE,27874
"951","951","W Washer","LK1","Inshore","LK1-I","LK1-I_951","ssid","2017","Irma","Fall","run1",96361,FALSE,94705
"952","952","W Washer","LK1","Inshore","LK1-I","LK1-I_952","ssid","2017","Irma","Fall","run1",30449,FALSE,29611
"953","953","W Washer","LK1","Inshore","LK1-I","LK1-I_953","ssid","2017","Irma","Fall","run1",38703,FALSE,38114
"955","955","W Washer","LK1","Inshore","LK1-I","LK1-I_955","ssid","2017","Irma","Fall","run1",68299,FALSE,67664
"956","956","W Washer","LK1","Inshore","LK1-I","LK1-I_956","srad","2017","Irma","Fall","run1",24663,FALSE,24516
"957","957","W Washer","LK1","Inshore","LK1-I","LK1-I_957","srad","2017","Irma","Fall","run1",66939,FALSE,66454
"958","958","W Washer","LK1","Inshore","LK1-I","LK1-I_958","srad","2017","Irma","Fall","run1",27456,FALSE,27232
"959","959","W Washer","LK1","Inshore","LK1-I","LK1-I_959","srad","2017","Irma","Fall","run1",32444,FALSE,32041
"960","960","W Washer","LK1","Inshore","LK1-I","LK1-I_960","srad","2017","Irma","Fall","run1",145579,FALSE,145276
"961","961","W Washer","LK1","Inshore","LK1-I","LK1-I_961","srad","2017","Irma","Fall","run1",20227,FALSE,19618
"962","962","W Washer","LK1","Inshore","LK1-I","LK1-I_962","srad","2017","Irma","Fall","run1",40289,FALSE,39634
"963","963","W Washer","LK1","Inshore","LK1-I","LK1-I_963","srad","2017","Irma","Fall","run1",18759,FALSE,18183
"964","964","W Washer","LK1","Inshore","LK1-I","LK1-I_964","srad","2017","Irma","Fall","run1",19537,FALSE,19460
"965","965","W Washer","LK1","Inshore","LK1-I","LK1-I_965","ssid","2017","Irma","Fall","run1",27610,FALSE,27450
"976","976","W Washer","LK1","Inshore","LK1-I","LK1-I_976","srad","2017","Irma","Fall","run1",42341,FALSE,42060
"977","977","W Washer","LK1","Inshore","LK1-I","LK1-I_977","ssid","2016","Pre","Spring","run1",16706,FALSE,16634
"978","978","W Washer","LK1","Inshore","LK1-I","LK1-I_978","ssid","2016","Pre","Spring","run1",51477,FALSE,50376
"979","979","W Washer","LK1","Inshore","LK1-I","LK1-I_979","ssid","2016","Pre","Spring","run1",39700,FALSE,36379
"980","980","W Washer","LK1","Inshore","LK1-I","LK1-I_980","ssid","2016","Pre","Spring","run1",25242,FALSE,25046
"981","981","W Washer","LK1","Inshore","LK1-I","LK1-I_981","ssid","2016","Pre","Spring","run1",46084,FALSE,45723
"982","982","W Washer","LK1","Inshore","LK1-I","LK1-I_982","ssid","2016","Pre","Spring","run1",36939,FALSE,36579
"983","983","W Washer","LK1","Inshore","LK1-I","LK1-I_983","ssid","2016","Pre","Spring","run1",28300,FALSE,28015
"984","984","W Washer","LK1","Inshore","LK1-I","LK1-I_984","ssid","2016","Pre","Spring","run1",56737,FALSE,55195
"985","985","W Washer","LK1","Inshore","LK1-I","LK1-I_985","ssid","2016","Pre","Spring","run1",31217,FALSE,31085
"986","986","W Washer","LK1","Inshore","LK1-I","LK1-I_986","ssid","2016","Pre","Spring","run1",17853,FALSE,17708
"988","988","W Washer","LK1","Inshore","LK1-I","LK1-I_988","srad","2016","Pre","Spring","run1",40577,FALSE,39627
"989","989","W Washer","LK1","Inshore","LK1-I","LK1-I_989","srad","2016","Pre","Spring","run1",16585,FALSE,16396
"990","990","W Washer","LK1","Inshore","LK1-I","LK1-I_990","srad","2016","Pre","Spring","run1",32026,FALSE,29386
"991","991","W Washer","LK1","Inshore","LK1-I","LK1-I_991","srad","2016","Pre","Spring","run1",82228,FALSE,81225
"992","992","W Washer","LK1","Inshore","LK1-I","LK1-I_992","srad","2016","Pre","Spring","run1",55144,FALSE,54780
"993","993","W Washer","LK1","Inshore","LK1-I","LK1-I_993","srad","2016","Pre","Spring","run1",20445,FALSE,20087
"994","994","W Washer","LK1","Inshore","LK1-I","LK1-I_994","srad","2016","Pre","Spring","run1",113070,FALSE,111990
"995","995","W Washer","LK1","Inshore","LK1-I","LK1-I_995","srad","2016","Pre","Spring","run1",57612,FALSE,57469
"996","996","W Washer","LK1","Inshore","LK1-I","LK1-I_996","srad","2016","Pre","Spring","run1",24749,FALSE,24416
"10","10","E Sambo","LK1","Offshore","LK1-O","LK1-O_10","ssid","2015","Pre","Spring","run1",37467,FALSE,36707
"1221","1221","E Sambo","LK1","Offshore","LK1-O","LK1-O_1221","srad","2018","Post","Fall","run2",11139,FALSE,10974
"1222","1222","E Sambo","LK1","Offshore","LK1-O","LK1-O_1222","srad","2018","Post","Fall","run2",6828,FALSE,6393
"1223","1223","E Sambo","LK1","Offshore","LK1-O","LK1-O_1223","srad","2018","Post","Fall","run2",36756,FALSE,35316
"1225","1225","E Sambo","LK1","Offshore","LK1-O","LK1-O_1225","srad","2018","Post","Fall","run2",19596,FALSE,19109
"1226","1226","E Sambo","LK1","Offshore","LK1-O","LK1-O_1226","srad","2018","Post","Fall","run2",19896,FALSE,19762
"1227","1227","E Sambo","LK1","Offshore","LK1-O","LK1-O_1227","srad","2018","Post","Fall","run2",12426,FALSE,12292
"1228","1228","E Sambo","LK1","Offshore","LK1-O","LK1-O_1228","srad","2018","Post","Fall","run2",7224,FALSE,7070
"1230","1230","E Sambo","LK1","Offshore","LK1-O","LK1-O_1230","ssid","2018","Post","Fall","run2",46758,FALSE,44382
