"","sample_num","Observed","Shannon","InvSimpson","full_site","site","zone","site_zone","sample","spp","year","time","season","seq_run","lib_size","is.neg","even"
"1","1",587,5.30693828328358,83.9447324748958,"E Sambo","LK1","Offshore","LK1-O","LK1-O_1","ssid","2015","Pre","Spring","run1",54625,FALSE,0.832457666169006
"2","10",790,5.67966301817322,98.5942897433577,"E Sambo","LK1","Offshore","LK1-O","LK1-O_10","ssid","2015","Pre","Spring","run1",40408,FALSE,0.851264234544443
"3","100",63,2.03911072915943,2.97237501559375,"Carysfort","UK2","Offshore","UK2-O","UK2-O_100","ssid","2015","Pre","Spring","run1",30656,FALSE,0.492166164950034
"4","1070",183,2.46256570062408,2.80219090841693,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1070","srad","2018","Post","Fall","run2",17507,FALSE,0.472707984698437
"5","1072",35,0.366035457278374,1.11591586356859,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1072","srad","2018","Post","Fall","run2",20615,FALSE,0.102953480488499
"6","1073",130,1.55950797404509,1.71883699629934,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1073","srad","2018","Post","Fall","run2",29527,FALSE,0.320389714735173
"7","1074",328,5.12892108303984,87.2828206330665,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1074","srad","2018","Post","Fall","run2",16183,FALSE,0.885363202947914
"8","1075",56,2.46565864819917,5.19411498922961,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1075","srad","2018","Post","Fall","run2",5939,FALSE,0.612532478559374
"9","1076",305,4.99329173640644,61.5894100178853,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1076","srad","2018","Post","Fall","run2",15414,FALSE,0.872905521832911
"10","1077",252,4.25659408573306,26.5949227599216,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1077","srad","2018","Post","Fall","run2",19408,FALSE,0.769807157007737
"11","1078",53,0.605177027751814,1.20585705001732,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1078","srad","2018","Post","Fall","run2",28572,FALSE,0.152426330589475
"12","1079",218,2.64112860976143,2.8744147572282,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1079","srad","2018","Post","Fall","run2",18977,FALSE,0.490506273840534
"13","1080",108,3.59059491623099,13.3557182040278,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1080","ssid","2018","Post","Fall","run2",8213,FALSE,0.766871909832469
"14","1081",467,5.30046818528272,73.8408917766595,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1081","ssid","2018","Post","Fall","run2",26205,FALSE,0.862379472864917
"15","1082",540,5.67397896676329,151.33731028669,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1082","ssid","2018","Post","Fall","run2",31530,FALSE,0.901838450933978
"16","1083",165,2.10840294827444,2.30877152590204,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1083","ssid","2018","Post","Fall","run2",15571,FALSE,0.412930956480382
"17","1084",118,1.24875635073386,1.53360821519576,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1084","ssid","2018","Post","Fall","run2",32335,FALSE,0.261756215099573
"18","1085",83,2.71234125790685,6.81473302157182,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1085","ssid","2018","Post","Fall","run2",8052,FALSE,0.613812875060756
"19","1089",386,4.23867460728604,11.6520981182039,"Basin Hill","UK2","Inshore","UK2-I","UK2-I_1089","ssid","2018","Post","Fall","run2",28491,FALSE,0.71168407468905
"20","1100",33,0.382255967623486,1.12579268375338,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1100","srad","2018","Post","Fall","run2",39171,FALSE,0.10932507964123
"21","1101",293,4.01919216610081,25.6861830080454,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1101","srad","2018","Post","Fall","run2",41142,FALSE,0.707582751925618
"22","1102",487,4.90513134648904,33.1998448483212,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1102","srad","2018","Post","Fall","run2",40193,FALSE,0.792650612340965
"23","1103",71,0.764932820354155,1.25499606603323,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1103","srad","2018","Post","Fall","run2",30129,FALSE,0.179448807421374
"24","1106",65,1.2968436275473,1.70389672029153,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1106","srad","2018","Post","Fall","run2",17051,FALSE,0.310666822146504
"25","1108",82,1.26529023515877,1.7674211616711,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1108","srad","2018","Post","Fall","run2",34319,FALSE,0.287127489672567
"26","1109",37,0.568719941673349,1.24343363992246,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1109","srad","2018","Post","Fall","run2",28154,FALSE,0.157500102586625
"27","111",802,5.77932943918668,146.714922593453,"Carysfort","UK2","Offshore","UK2-O","UK2-O_111","srad","2015","Pre","Spring","run1",56502,FALSE,0.864249375640175
"28","1110",190,4.41676845467077,40.5910992520108,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1110","ssid","2018","Post","Fall","run2",8693,FALSE,0.841766379175796
"29","1111",88,1.02785455372327,1.39916245756734,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1111","ssid","2018","Post","Fall","run2",23310,FALSE,0.229568289434811
"30","1112",130,3.54233639641977,11.3323023040953,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1112","ssid","2018","Post","Fall","run2",8223,FALSE,0.727747575795426
"31","1113",28,0.332328523540301,1.10852672699851,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1113","ssid","2018","Post","Fall","run2",30186,FALSE,0.0997323311115823
"32","1114",49,0.888104022736756,1.3652043274893,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1114","ssid","2018","Post","Fall","run2",15823,FALSE,0.228197592568163
"33","1115",262,4.7655124465049,58.5638601454671,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1115","ssid","2018","Post","Fall","run2",13211,FALSE,0.855822128693019
"34","1116",70,1.07028956094012,1.46181294564591,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1116","ssid","2018","Post","Fall","run2",28885,FALSE,0.251922033558367
"35","1117",148,1.65939556474286,1.78412461801731,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1117","ssid","2018","Post","Fall","run2",29120,FALSE,0.332064253795033
"36","1118",83,1.76338972851943,2.28302791340551,"Carysfort","UK2","Offshore","UK2-O","UK2-O_1118","ssid","2018","Post","Fall","run2",24221,FALSE,0.399061628384628
"37","112",390,4.3542871282208,31.9529134015237,"Carysfort","UK2","Offshore","UK2-O","UK2-O_112","srad","2015","Pre","Spring","run1",42821,FALSE,0.729832389080722
"38","113",982,5.61960164478854,31.3927457654314,"Carysfort","UK2","Offshore","UK2-O","UK2-O_113","srad","2015","Pre","Spring","run1",92074,FALSE,0.815665457249125
"39","114",640,5.37355363314094,64.4437568494306,"Carysfort","UK2","Offshore","UK2-O","UK2-O_114","srad","2015","Pre","Spring","run1",25914,FALSE,0.83163044163955
"40","1140",350,4.79876524855461,52.7389091785275,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1140","ssid","2018","Post","Fall","run2",39696,FALSE,0.819190851449337
"41","1141",203,3.89010310731963,23.8286909374935,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1141","ssid","2018","Post","Fall","run2",18355,FALSE,0.732157406030246
"42","1142",112,3.1880971712218,8.72600588743409,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1142","ssid","2018","Post","Fall","run2",13011,FALSE,0.675659199712123
"43","1144",209,4.61793013433889,37.0263509082821,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1144","ssid","2018","Post","Fall","run2",13436,FALSE,0.864403071118303
"44","1147",65,2.98440730399566,8.6747110497555,"Cheeca Rocks","UK1","Inshore","UK1-I","UK1-I_1147","ssid","2018","Post","Fall","run2",6370,FALSE,0.714933021552232
"45","115",1204,6.15547151091298,157.385305375536,"Carysfort","UK2","Offshore","UK2-O","UK2-O_115","srad","2015","Pre","Spring","run1",76799,FALSE,0.867773916133974
"46","116",620,5.73903524130773,168.718769227933,"Carysfort","UK2","Offshore","UK2-O","UK2-O_116","srad","2015","Pre","Spring","run1",40220,FALSE,0.892579413597988
"47","117",792,5.66795410726418,103.332343803258,"Carysfort","UK2","Offshore","UK2-O","UK2-O_117","srad","2015","Pre","Spring","run1",38963,FALSE,0.849187500801965
"48","1170",43,0.650099022416728,1.24128298604376,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1170","ssid","2018","Post","Fall","run2",24124,FALSE,0.172843508034629
"49","1172",37,0.357052548198435,1.1056617427831,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1172","ssid","2018","Post","Fall","run2",29659,FALSE,0.0988813805343391
"50","1173",339,4.80906476674824,59.8546377716385,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1173","ssid","2018","Post","Fall","run2",28042,FALSE,0.825448794732437
"51","1174",92,1.12994050140794,1.45961130896479,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1174","ssid","2018","Post","Fall","run2",29602,FALSE,0.249887955209384
"52","1175",117,1.65463720482653,1.84516143101945,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1175","ssid","2018","Post","Fall","run2",25212,FALSE,0.347454172712152
"53","1177",179,4.32959660941118,33.5790394405127,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1177","ssid","2018","Post","Fall","run2",8044,FALSE,0.834639406333776
"54","1178",75,3.10418959540486,14.1896353938041,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1178","ssid","2018","Post","Fall","run2",10317,FALSE,0.718980461271572
"55","1179",160,4.0271617307756,14.5712797913422,"Rocky Top","UK1","Offshore","UK1-O","UK1-O_1179","ssid","2018","Post","Fall","run2",11237,FALSE,0.793502228177392
"56","118",718,5.59004647711132,100.635659125566,"Carysfort","UK2","Offshore","UK2-O","UK2-O_118","srad","2015","Pre","Spring","run1",44615,FALSE,0.850007198911184
"57","119",589,4.61914319690537,19.0550212807953,"Carysfort","UK2","Offshore","UK2-O","UK2-O_119","srad","2015","Pre","Spring","run1",76498,FALSE,0.724182276929785
"58","1190",300,2.95402239044785,3.09446301292315,"W Washer","LK1","Inshore","LK1-I","LK1-I_1190","srad","2018","Post","Fall","run2",28780,FALSE,0.51790586397247
"59","1191",45,0.5934438638073,1.20441253362249,"W Washer","LK1","Inshore","LK1-I","LK1-I_1191","srad","2018","Post","Fall","run2",18884,FALSE,0.155896107259855
"60","1193",503,5.41519079814356,103.336780497604,"W Washer","LK1","Inshore","LK1-I","LK1-I_1193","srad","2018","Post","Fall","run2",33468,FALSE,0.870526855180484
"61","1194",146,1.70221590574429,1.79168851194642,"W Washer","LK1","Inshore","LK1-I","LK1-I_1194","srad","2018","Post","Fall","run2",40466,FALSE,0.341563055625123
"62","1197",80,1.21761965023917,1.51083502767053,"W Washer","LK1","Inshore","LK1-I","LK1-I_1197","srad","2018","Post","Fall","run2",14307,FALSE,0.277866784424461
"63","1198",93,3.08648873528432,8.03740396696258,"W Washer","LK1","Inshore","LK1-I","LK1-I_1198","srad","2018","Post","Fall","run2",9316,FALSE,0.680953333720889
