"","sqs","Kingdom","Phylum","Class","Order","Family","Genus","Species","V8","cent","time","zone","fam"
"1","sq12","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus CC9902",NA,NA,0.618033988749895,"Post","Inshore","Cya"
"2","sq125","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Fulvivirga",NA,NA,0.707106781186547,"Post","Offshore","Cyc"
"3","sq1844","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",NA,NA,0.922848255444641,"Pre","Offshore","Phy"
"4","sq19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,NA,1,"Irma","Offshore","Xan"
"5","sq19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,NA,0.810793872528898,"Irma","Inshore","Xan"
"6","sq19","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia",NA,NA,4.61438595974976e-17,"Post","Inshore","Xan"
"7","sq2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,NA,0.431907121085991,"Irma","Inshore","Bur"
"8","sq2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,NA,0.437904809066778,"Pre","Offshore","Bur"
"9","sq220","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus",NA,NA,1,"Irma","Inshore","Def"
"10","sq220","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus",NA,NA,0.922848255444641,"Pre","Offshore","Def"
"11","sq220","Bacteria","Proteobacteria","Alphaproteobacteria","Defluviicoccales","Defluviicoccaceae","Defluviicoccus",NA,NA,0.396143495696631,"Irma","Offshore","Def"
"12","sq2985","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27 clade",NA,NA,0.707106781186547,"Pre","Inshore","Bde"
"13","sq333","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,NA,6.2803698347351e-16,"Post","Offshore","Des"
"14","sq37","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius",NA,NA,0.808239378196189,"Pre","Offshore","Kil"
"15","sq37","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius",NA,NA,0.707106781186547,"Post","Offshore","Kil"
"16","sq37","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Pelagibius",NA,NA,0.763532267795905,"Irma","Inshore","Kil"
"17","sq41","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,0.455585177996392,"Irma","Inshore","Cla"
"18","sq41","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I","Clade Ia",NA,NA,1,"Post","Inshore","Cla"
"19","sq521","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA,NA,0.923879532511287,"Pre","Inshore","Pir"
"20","sq521","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4 lineage",NA,NA,1,"Post","Inshore","Pir"
"21","sq56","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,NA,0.707106781186547,"Pre","Inshore","Woe"
"22","sq56","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,NA,0.469881908087808,"Irma","Offshore","Woe"
"23","sq6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,NA,1,"Pre","Offshore","Vib"
"24","sq6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae","Vibrio",NA,NA,0.396143495696631,"Irma","Offshore","Vib"
"25","sq69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Hoeflea",NA,NA,1,"Pre","Inshore","Rhi"
"26","sq704","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",NA,NA,0.923879532511287,"Pre","Inshore","Kor"
"27","sq704","Bacteria","Proteobacteria","Alphaproteobacteria","Kordiimonadales","Kordiimonadaceae","Kordiimonas",NA,NA,0.618033988749895,"Post","Inshore","Kor"
"28","sq8","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,NA,0.469881908087808,"Irma","Offshore","Xan"
"29","sq894","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Limibaculum",NA,NA,1,"Post","Offshore","Rho"
"30","sq912","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Alkalispirochaeta",NA,NA,5.88784672006415e-16,"Post","Offshore","Spi"
