"","sqs","Kingdom","Phylum","Class","Order","Family","Genus","Species","V8","cent","time","fam1","fam"
"1","sq1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,NA,0.450674220981005,"Post","Com","Com"
"2","sq10","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae",NA,NA,NA,0.945361580076224,"Pre","Kil","Kil"
"3","sq12","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,NA,0.540290772583225,"Irma","Cya","Cya"
"4","sq130","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade III",NA,NA,NA,1,"Irma","Cla","Cla3"
"5","sq132","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methyloligellaceae",NA,NA,NA,0.755391151135318,"Pre","Met","Met"
"6","sq169","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae",NA,NA,NA,0.51165944089771,"Pre","Spi","Spi"
"7","sq181","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","SAR86 clade",NA,NA,NA,0.48835957916337,"Irma","SAR","SAR"
"8","sq185","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae",NA,NA,NA,0.359978260595936,"Post","Phy","Phy"
"9","sq2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA,NA,1,"Post","Bur","Bur"
"10","sq2","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae",NA,NA,NA,0.536333422360349,"Irma","Bur","Bur"
"11","sq202","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,NA,0.579653189221189,"Post","Chi","Chi"
"12","sq2144","Bacteria","Hydrogenedentes","Hydrogenedentia","Hydrogenedentiales","Hydrogenedensaceae",NA,NA,NA,0.502927738171513,"Post","Hyd","Hyd"
"13","sq218","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group",NA,NA,NA,0.430243937370877,"Irma","AEG","AEG"
"14","sq288","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade II",NA,NA,NA,0.622898427314677,"Irma","Cla","Cla2"
"15","sq299","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Alcanivoracaceae1",NA,NA,NA,0.644557153663784,"Pre","Alc","Alc"
"16","sq35","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Shewanellaceae",NA,NA,NA,0.535570540212627,"Pre","She","She"
"17","sq36","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,NA,0.479779564549843,"Post","Cau","Cau"
"18","sq363","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA,NA,1,"Pre","Rho","Rho"
"19","sq3847","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae",NA,NA,NA,0.546956603999122,"Post","Sum","Sum"
"20","sq408","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA,NA,0.413047846159402,"Irma","NS9","NS9"
"21","sq41","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11 clade","Clade I",NA,NA,NA,0.596036457555087,"Irma","Cla","Cla1"
"22","sq414","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA,NA,0.344705591817574,"Post","Sap","Sap"
"23","sq49","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae",NA,NA,NA,0.429732859788785,"Post","Par","Par"
"24","sq511","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","MBAE14",NA,NA,NA,0.717975180877433,"Pre","MBA","MBA"
"25","sq56","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA,NA,0.577555666047459,"Pre","Woe","Woe"
"26","sq6","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Vibrionaceae",NA,NA,NA,0.62866579585933,"Pre","Vib","Vib"
"27","sq621","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","SB-5",NA,NA,NA,0.381547719305832,"Post","SB-","SB-"
"28","sq69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,NA,0.454310373306826,"Irma","Rhi","Rhi"
"29","sq8","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA,NA,NA,0.873178783229734,"Irma","Xan","Xan"
"30","sq83","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Moritellaceae",NA,NA,NA,0.852840468276546,"Pre","Mor","Mor"
