,sqs,Kingdom,Phylum,Class,Order,Family,Genus,Species,cent,site,zone,time,index,full_sq
76,sq2609,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Genus_Acanthopleuribacter,0.972771427,UK2,Offshore,Pre,76,Acanthopleuribacteraceae_76
92,sq336,Bacteria,Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,Genus_Acanthopleuribacter,0.897960635,LK1,Inshore,Pre,92,Acanthopleuribacteraceae_92
88,sq3185,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Family_AEGEAN-169 marine group,Family_AEGEAN-169 marine group,0.776996696,UK1,Inshore,Pre,88,AEGEAN-169 marine group_88
129,sq520,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Family_AEGEAN-169 marine group,Family_AEGEAN-169 marine group,0.991715085,UK1,Offshore,Pre,129,AEGEAN-169 marine group_129
32,sq1519,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,Genus_Candidatus Amoebophilus,0.922588625,LK1,Offshore,Post,32,Amoebophilaceae_32
177,sq9252,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Family_Amoebophilaceae,Family_Amoebophilaceae,0.980019549,UK1,Offshore,Pre,177,Amoebophilaceae_177
131,sq5333,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Genus_Peredibacter,0.983538751,UK1,Inshore,Irma,131,Bacteriovoracaceae_131
72,sq2474,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,BD2-7,Family_BD2-7,Family_BD2-7,0.974446375,LK1,Offshore,Pre,72,BD2-7_72
96,sq3402,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,BD2-7,Family_BD2-7,Family_BD2-7,0.843441457,LK1,Inshore,Post,96,BD2-7_96
31,sq1518,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Blattabacteriaceae,Family_Blattabacteriaceae,Family_Blattabacteriaceae,0.882504487,LK1,Inshore,Pre,31,Blattabacteriaceae_31
42,sq1686,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,vibrioides,0.799563789,UK2,Inshore,Irma,42,Caulobacteraceae_42
100,sq36,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Family_Caulobacteraceae,Family_Caulobacteraceae,0.994362833,UK2,Offshore,Post,100,Caulobacteraceae_100
73,sq2512,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Genus_Sediminibacterium,0.837478154,UK1,Inshore,Pre,73,Chitinophagaceae_73
138,sq591,Bacteria,Bacteroidota,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,Genus_Prosthecochloris,0.969448813,LK1,Offshore,Irma,138,Chlorobiaceae_138
125,sq4758,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,Genus_Clade Ia,0.961645724,UK1,Offshore,Pre,125,Clade I_125
110,sq405,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Family_Clade III,Family_Clade III,1,UK1,Inshore,Pre,110,Clade III_110
137,sq590,Bacteria,Proteobacteria,Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,Class_Alphaproteobacteria,0.981916931,UK1,Inshore,Post,137,Class_Alphaproteobacteria_137
87,sq314,Bacteria,Bacteroidota,Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,1,UK1,Offshore,Post,87,Class_Bacteroidia_87
176,sq916,Bacteria,Bacteroidota,Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,Class_Bacteroidia,1,UK2,Inshore,Pre,176,Class_Bacteroidia_176
4,sq10649,Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.927560456,LK1,Inshore,Post,4,Class_Gammaproteobacteria_4
62,sq2207,Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.914339385,LK1,Inshore,Pre,62,Class_Gammaproteobacteria_62
78,sq263,Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.93860633,UK2,Inshore,Post,78,Class_Gammaproteobacteria_78
140,sq6174,Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.982726222,UK1,Offshore,Irma,140,Class_Gammaproteobacteria_140
148,sq6416,Bacteria,Proteobacteria,Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,Class_Gammaproteobacteria,0.767728503,UK2,Inshore,Irma,148,Class_Gammaproteobacteria_148
41,sq1683,Bacteria,Planctomycetota,OM190,Class_OM190,Class_OM190,Class_OM190,Class_OM190,1,UK1,Inshore,Post,41,Class_OM190_41
81,sq2722,Bacteria,Planctomycetota,OM190,Class_OM190,Class_OM190,Class_OM190,Class_OM190,0.483708629,UK1,Inshore,Irma,81,Class_OM190_81
21,sq1314,Bacteria,Planctomycetota,Pla4 lineage,Class_Pla4 lineage,Class_Pla4 lineage,Class_Pla4 lineage,Class_Pla4 lineage,0.897929293,LK1,Offshore,Irma,21,Class_Pla4 lineage_21
71,sq2469,Bacteria,Acidobacteriota,Subgroup 22,Class_Subgroup 22,Class_Subgroup 22,Class_Subgroup 22,Class_Subgroup 22,0.968194179,LK1,Offshore,Pre,71,Class_Subgroup 22_71
24,sq1364,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,kroppenstedtii,0.875584631,UK1,Offshore,Post,24,Corynebacteriaceae_24
105,sq379,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,accolens,0.802740501,UK2,Inshore,Pre,105,Corynebacteriaceae_105
132,sq5364,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Family_Cryomorphaceae,Family_Cryomorphaceae,0.948360819,LK1,Offshore,Post,132,Cryomorphaceae_132
153,sq6612,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10 marine group,Genus_NS10 marine group,0.963643046,UK1,Offshore,Irma,153,Cryomorphaceae_153
75,sq26,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,Genus_Synechococcus CC9902,0.975549057,LK1,Inshore,Pre,75,Cyanobiaceae_75
