Date,Site_Code,Latitude,Longitude,Estimated_Survey_Area,Tier1_impact,Tier2_impact,Tier3_impact,Marine_Debris_PA,Marine_Debris_Notes,Octocoral_Xestospongia_damage,Rubble_or_Sediment,Notes
10/14/2017,IRMA_067,24.7176,-80.9357,500,0,10,90,1,"wooden planks from lobster traps, trap lines, but no intact traps",Octocorals and sponges look okay on top of reef. dead vase and ball sponges off in sand.,"Fine sediments dusting corals, no heavy fouling",Not many affected colonies. Two large CNAT flipped but too big to right without gear. One large colony can't tell if there is live tissue underneath. Viz=2m
10/14/2017,IRMA_038,24.72575,-80.93154,400,0,0,100,1,"multiple trap lines, plastic bag, wooden planks, mesh bag","A couple of octocorals on old, dead colonies that are overturned. Only saw one Xesto, but it was healthy",Fine sediment dusting on coral. Hardbottom and rubble newly exposed (30-60cm sized pieces). No heavy sediment fouling,"Many dislodged SSID. Not a lot of live tissue on over turned colonies. Most dislodges pieces are old, dead coral structure and SSIDs dislodged are mostly small. Viz=1.2m"
10/16/2017,IRMA_050,24.54855,-81.71243,400,0,0,100,1,trap line,Octocorals look okay. Did not see Xestos,,"Patchy stony coral. Some healthy, some old mortality. Low to mid relief."
10/16/2017,IRMA_031,24.50832,-81.70832,500,0,0,100,1,"trap lines, trap parts (throats)","Octos mostly healthy, some dislodged and fallen into crevices, or crushed under dislodged stony corals. Big, healthy Xestos on reef. In sandy areas, Xestos disintegrating. Sediment coasting on some corals (mosty MCAV).",,"Contiguous reef, mid relief, scattered small to medium dislodged corals (not species of interest). Dense octocorals. sponges mostly okay, some broken vases"
10/16/2017,IRMA_109,24.50152,-81.67913,900,0,0,100,1,trap lines and wooden planks,"Xestos are sheared off and disentigrating. Xestos in shallower reef all dead/dying, in deeper areas they are healthy.",Fine sediments suspended in water and coating on intake side of sponges,"sandy/low relief hardbottom. Lots of Xestos, SSID, Orbicella. Small SSIDs dislodged and flipped upside down."
10/17/2017,IRMA_044,24.51218,-81.92976,600,0,0,100,1,"trap lines, removed some of it",Octocorals look healthy. Not many sponges,,MCAV dominated reef. Not much evidence of damage. Viz=5m. Rightened and stablized the one dislodged MCAV found.
10/15/2017,IRMA_106,24.570336,-81.457739,500,0,0,100,1,"many wooden planks, trap line, half of a trap","Many sea fans dislodged and dead. Many dead sponges, not just Xestos","Fine sediments covering corals, looked like some were partially buried, then re-exposed. Many corals had recent mortality around their bases.","low relief, small to large corals. Some corals were dislodged, but corals were more impacted by sediment than by dislodgment/fractures. Viz=1.5m"
10/15/2017,IRMA_086,24.5452,-81.4071,900,80,20,0,1,"none found in roving dive, but buoys for trap lines are seen in shallower water caught on other mooring balls","Octocorals okay, sponges mostly healthy. some dead sponges on flipped over coral heads","Lots of rubble in sand channels, medium to large sizes, mostly old mortality but some new mortality","Gigantic OFAV colonies upside down, small corals in sand mostly dead. Abrasion marks on side of gigantic OFAV colony facing a sand channel. Lots of old mort on APAL in crevices/sand channels, did not see recent mortality or breakage on live APAL. Viz=3m"
10/16/2017,IRMA_104,24.57682,-81.61338,400,0,10,90,1,"trap lines, ghost trap, one live trap, lots of trap line","octos dislodged, wedged in crevices or half buried. did not see xestos",fine sediments suspended in water column and on corals. Fine layer coating,"Med to high patch reef, many healthy boulder coral. Fine sediments present, mostly small to medium corals dislodged, but some large and one gigantic SSID. Dislodged corals have live tissue around the sides, will probably be okay without triage. Viz=1m"
10/16/2017,IRMA_069,24.5603,-81.5021,600,15,30,55,1,trap lines and wooden planks,octocorals dead or partially buried in sand if off the reef.,"Not much sediments on corals on top of the reef, more on corals deeper, along reef edges. Sand sized sediment, not silty or clayey","Very dense boulder coral cover, on top of reef not much damage. A lot of sheared or dislodged corals, particularly OANN. Many sheared off pieces don't have much live tissue left.  Recent mort on bases of OFAV.  Viz=3m"
