Date,Site_Code,Latitude,Longitude,Estimated_Survey_Area,Tier1_impact,Tier2_impact,Tier3_impact,round1,round2,notes,score,score formula: ((1*3+2*2+3*1)/100)
10/9/17,IRMA_056,25.30337,-80.21539,600,0,0,100,yes,yes,,1,
10/9/17,IRMA_057,25.41827,-80.15542,400,0,0,100,yes,yes,,1,
10/9/17,IRMA_058,25.54633,-80.10165,400,0,0,100,yes,yes,,1,
10/9/17,IRMA_102,25.3732,-80.1603,400,0,0,100,yes,yes,,1,
10/9/17,IRMA_103,25.3162,-80.188,400,20,10,70,yes,yes,,1.5,
10/10/17,IRMA_023,24.98885,-80.4137,,0,0,100,yes,no,,1,
10/10/17,IRMA_091,25.2208,-80.2099,,0,100,0,yes,no,,2,
10/10/17,IRMA_092,25.0072,-80.3756,,0,100,0,yes,no,,2,
10/10/17,IRMA_016,24.706446,-80.868015,200,0,100,0,no,yes,,2,
10/11/17,IRMA_065,25.0219,-80.439,150,0,0,100,yes,yes,,1,
10/11/17,IRMA_093,24.9519,-80.4513,,0,100,0,yes,no,,2,
10/11/17,IRMA_094,24.8452,-80.6209,,0,100,0,yes,no,,2,
10/11/17,IRMA_119,24.8357,-80.6326,,0,100,0,yes,no,,2,
10/12/17,IRMA_004,24.73075,-80.7988,,0,100,0,yes,no,rounds don't match,2,
10/12/17,IRMA_004,24.730754,-80.798771,400,0,0,100,no,yes,rounds don't match,1,
10/12/17,IRMA_011,,,,,,,yes,no,should remove - no lat/lon,,
10/12/17,IRMA_016,24.70645,-80.868,,0,100,0,yes,no,,2,
10/12/17,IRMA_043,24.76336,-80.75519,300,100,0,0,yes,yes,,3,
10/12/17,IRMA_095,24.7527,-80.7578,,100,0,0,yes,no,,3,
10/13/17,IRMA_096,,,,,,,yes,no,should remove - no lat/lon,,
10/13/17,IRMA_115,24.64668,-81.0322,200,0,100,0,yes,yes,,2,
10/14/17,IRMA_038,24.72575,-80.93154,400,0,0,100,no,yes,,1,
10/14/17,IRMA_047,24.68573,-81.04498,400,0,100,0,yes,yes,,2,
10/14/17,IRMA_053,24.69294,-81.02101,400,0,100,0,yes,yes,,2,
10/14/17,IRMA_067,24.7176,-80.9357,500,0,10,90,no,yes,,1.1,
10/14/17,IRMA_068,24.6715,-81.0506,300,0,100,0,yes,yes,,2,
10/14/17,IRMA_073,24.6993,-80.9669,500,0,0,100,no,yes,,1,
10/14/17,IRMA_074,24.6895,-81.0302,300,20,0,80,yes,yes,,1.4,
10/15/17,AMER_SHL,24.52328,-81.51614,300,0,0,100,yes,yes,,1,
10/15/17,IRMA_032,24.56692,-81.3886,300,100,0,0,yes,yes,,3,
10/15/17,IRMA_046,24.55001,-81.52374,400,100,0,0,yes,yes,,3,
10/15/17,IRMA_061,24.59255,-81.22076,900,0,20,80,no,yes,,1.2,
10/15/17,IRMA_064,24.60039,-81.20631,500,0,0,100,no,yes,,1,
10/15/17,IRMA_086,24.5452,-81.4071,900,80,20,0,no,yes,,2.8,
10/15/17,IRMA_097,24.5421,-81.4153,400,0,100,0,yes,yes,,2,
10/15/17,IRMA_106,24.570336,-81.457739,500,0,0,100,no,yes,,1,
10/16/17,IRMA_031,24.50832,-81.70832,500,0,0,100,no,yes,,1,
10/16/17,IRMA_045,24.53471,-81.6323,,0,20,80,yes,no,,1.2,
10/16/17,IRMA_050,24.54855,-81.71243,400,0,0,100,no,yes,,1,
10/16/17,IRMA_051,24.53475,-81.63209,400,0,50,50,yes,yes,,1.5,
10/16/17,IRMA_069,24.5603,-81.5021,600,15,30,55,no,yes,,1.6,
10/16/17,IRMA_070,24.5209,-81.6621,100,0,100,0,yes,yes,,2,
10/16/17,IRMA_075,24.5475,-81.5866,400,0,100,0,yes,yes,,2,
10/16/17,IRMA_104,24.57682,-81.61338,400,0,10,90,no,yes,,1.1,
10/16/17,IRMA_105,24.54492,-81.57647,400,10,0,90,yes,yes,,1.2,
10/16/17,IRMA_109,24.50152,-81.67913,900,0,0,100,no,yes,,1,
10/17/17,IRMA_035,24.49783,-81.73329,400,0,0,100,yes,yes,,1,
10/17/17,IRMA_036,24.51385,-81.92247,900,0,0,100,no,yes,,1,
10/17/17,IRMA_044,24.51218,-81.92976,600,0,0,100,no,yes,,1,
10/17/17,IRMA_052,24.48645,-81.84855,300,0,0,100,yes,yes,,1,
10/17/17,IRMA_087,24.4917,-81.663565,700,0,0,100,no,yes,,1,
10/17/17,IRMA_088,24.4796,-81.7176,400,0,0,100,yes,yes,,1,
10/17/17,IRMA_089,24.4545,-81.8589,400,0,0,100,yes,yes,,1,
10/17/17,IRMA_096,24.6253,-81.1116,400,25,50,25,no,yes,,2,
10/17/17,IRMA_099,24.478,-81.7171,400,0,0,100,yes,yes,,1,
10/18/17,IRMA_024,24.98215,-80.4216,,0,0,100,yes,no,,1,
10/18/17,IRMA_025,24.934383,-80.5494,500,0,0,100,yes,yes,,1,
10/18/17,IRMA_081,25.0088,-80.3765,400,0,0,100,yes,yes,,1,
11/3/17,IRMA_108,25.20969,-80.21816,NA,0,0,100,no,yes,,1,
