"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"988","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"989","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"990","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"991","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"992","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"993","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"994","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"995","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"996","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"956","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"957","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"958","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"959","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"960","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"961","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"962","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"963","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"964","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
