"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"977","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"978","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"979","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"980","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"981","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"982","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"983","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"984","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"985","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"986","LK1","Inshore","2016","Spring","run1",0.112485333333333,0.0404,0.186,27.1214754098361,21.91,31.259,1.188817058,0.1552268,2.4242144,24.535409,-81.622376,3.96,1
"947","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
"948","LK1","Inshore","2017","Fall","run1",0.127434,0.0296,0.3584,27.0238136986301,22.301,31.926,1.4518311649596,0.06598266,5.4087243,24.535409,-81.622376,3.96,1.57
