"","site_zone","year","mean.sst","min.sst","max.sst"
"1","LK1-I",2015,27.3834115335381,26.1038333333333,28.7045833333333
"2","LK1-I",2016,27.1057670652577,25.7115833333333,28.351
"3","LK1-I",2017,27.0052175691244,25.8813333333333,28.2208333333333
"4","LK1-I",2018,27.0016113223246,25.6495833333333,28.28375
"5","LK1-I",2019,24.626,24.626,24.626
"6","LK1-O",2015,27.4246206669227,26.2976666666667,28.5925
"7","LK1-O",2016,27.2406150815721,25.9745833333333,28.4219166666667
"8","LK1-O",2017,27.0656908218126,26.0274166666667,28.1880833333333
"9","LK1-O",2018,27.0327463133641,25.7853333333333,28.1473333333333
"10","LK1-O",2019,24.856,24.856,24.856
"11","UK1-I",2015,27.4245910906298,25.7104166666667,28.6820833333333
"12","UK1-I",2016,27.2225689933259,25.7076666666667,28.52075
"13","UK1-I",2017,27.0757650857655,25.8886666666667,28.2626666666667
"14","UK1-I",2018,27.1283781362007,25.7505,28.2899166666667
"15","UK1-I",2019,24.679,24.679,24.679
"16","UK1-O",2015,27.4374991359447,25.8586666666667,28.6170833333333
"17","UK1-O",2016,27.2713293566926,25.8763333333333,28.4878333333333
"18","UK1-O",2017,27.1216758064516,26.0516666666667,28.1885833333333
"19","UK1-O",2018,27.1537302611367,25.8805833333333,28.2319166666667
"20","UK1-O",2019,24.888,24.888,24.888
"21","UK2-I",2015,27.4679510816692,25.9448333333333,28.7589166666667
"22","UK2-I",2016,27.3465933351872,26.1500833333333,28.5051666666667
"23","UK2-I",2017,27.1461770545315,26.0691666666667,28.29275
"24","UK2-I",2018,27.1548930875576,25.77925,28.3058333333333
"25","UK2-I",2019,24.596,24.596,24.596
"26","UK2-O",2015,27.4814744623656,26.1495833333333,28.5010833333333
"27","UK2-O",2016,27.3686650259548,26.2966666666667,28.4664166666667
"28","UK2-O",2017,27.2307733998976,26.317,28.2313333333333
"29","UK2-O",2018,27.1480594278034,26.049,28.19675
"30","UK2-O",2019,24.872,24.872,24.872
