sample,type_collapsed,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
B19a/B5/B19,B19,173184,0.160490903,-0.038142844,-0.004132807,0.008277748,-0.010472306,0.004237291,0.002827223,-0.004737049,-3.14E-05,-0.000418379,0.027666371,0.008634463,-0.005884095,0.00810005,-0.003023634,-0.001122777,0.001318739,-0.002531518,-0.000523462,-0.000344489,0.001371335,5.44E-06,6.83E-05,-0.000109345,-0.000270263,-0.000103053,8.15E-06,-6.40E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5b-B5a-B5k-B5j,B5-2*,173185,-0.068012416,-0.042599487,0.02929348,0.00186413,0.000633994,0.001843826,-0.007334512,-0.005000257,-0.004877474,0.008657733,0.000614013,0.002030151,0.005301466,4.79E-05,-0.00145393,-0.000379283,-0.003082072,-0.001683851,0.002205989,-0.000461696,0.002826648,0.000123516,-0.003245471,0.001346861,0.002921248,-0.000859518,-2.83E-05,8.20E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5b-B5d,B5-2*,173186,-0.043335177,-0.02158194,-0.016290805,0.009805775,-0.005617466,-0.00256505,-0.006382108,0.00074981,0.005536124,-0.002576832,-0.000223705,-0.001751523,-0.002614801,-0.002765725,8.48E-05,-0.002271463,-0.004764748,0.001132895,-0.002365186,0.002456496,0.000752297,0.001012627,0.003268462,-0.001294486,-0.002165201,0.000180063,-0.000144743,-6.13E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5c-B5a-B5e-B5h-B5b,B5-2*,173188,-0.030045439,-0.014539051,0.000176642,0.010030826,-0.003718118,-0.002374116,0.022707222,0.016587678,0.003163685,-0.003504382,-0.002917268,0.007176879,0.011412823,0.004799673,-0.001818094,0.000856987,-0.00177867,-0.0036884,-0.000331242,-0.000766438,-0.001406011,0.000184736,0.000264968,1.23E-05,0.000441598,0.000855877,0.000238235,-2.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5b-B5f-B5e-B5d-B5c,B5-2*,173189,-0.044587944,-0.014909538,-0.023349947,-0.001248109,-0.005731603,-0.005382868,0.016150659,0.004494543,0.002578946,-0.002452824,-0.000941847,0.004030745,0.003368347,0.002357423,0.00011869,0.001546089,0.006908012,0.002696804,-0.003268823,0.00130388,-0.001414463,-0.000938361,-0.00198767,6.14E-05,-1.21E-05,0.001156979,-0.000794439,7.10E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5e-B5g-B5a-B5c,B5-1*,173190,-0.010284872,0.019097961,-0.038753298,0.008049301,-0.000336938,0.001149649,0.003245845,0.010659203,-0.000149454,0.007591953,0.001536029,-0.004948773,0.008743471,0.006479917,0.00777841,0.007745347,-0.000238257,-0.004487987,0.001095015,0.001565127,0.002282859,-0.001241424,0.000456482,4.22E-05,-0.000733755,-0.000499851,-3.01E-05,2.02E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5ae-B5d-B5a,B5-1*,173192,-0.001550045,0.009240704,-0.020598853,0.008885549,-0.003736654,-0.000450506,-0.008647132,-0.000464331,0.00126066,0.004850979,0.001717518,-0.006671961,0.000692721,-0.000286355,0.000593886,-0.000219547,-0.002186632,0.00398171,-0.008353145,0.001199689,0.003255104,0.001662513,0.00015212,0.000115677,-0.000227921,0.000114132,-0.00012732,-2.18E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5a/B5/B5p/B5ae-B5m,B5-1*,173233,-0.000913709,0.019057698,0.007386858,-0.005400486,-0.013790014,-0.006701113,0.003370889,-0.010028727,-0.00291584,0.003867298,0.000170466,0.003583621,-0.000930938,-0.002401629,-0.00057078,0.004178045,0.001610439,8.51E-05,-0.000304921,0.000193854,0.00047597,-0.001936032,-0.000658738,-1.55E-05,0.000298405,0.001098175,-0.002142378,1.44E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5p-B5-B5a-B5bh-B5bj-B5bi-B5bk,B5-1*,173234,-0.001654471,0.017667052,0.004230209,-0.01635215,0.004942379,0.002928853,0.000220017,-0.002509147,-0.004656005,0.007033329,-0.008575598,0.013125747,-0.005698925,0.009652659,0.012851785,-0.010536813,-0.000898923,-0.000670917,-0.002345986,-0.001000825,0.001419921,-0.001610506,-0.001816238,-0.000310736,-0.000799537,-0.000394602,-8.73E-05,-1.27E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B19-B5bl-B5bm,B5-1*,173236,0.026924961,0.008651343,0.002141788,-0.055811212,0.007405454,-0.000637103,-0.000931224,0.004980988,0.002953023,-0.002894011,0.00794903,-0.007239399,0.008100362,-0.006280775,-0.000135859,-0.001467664,-8.49E-05,0.001928236,0.000259964,0.001389309,-0.000262332,-0.0009918,-0.00195718,0.000498617,-0.000875863,0.000296754,-1.01E-05,-2.33E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
