sample,type_collapsed,type_bray,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48
B19a/B5/B19,B19,B19,173184,-0.14584921,0.078183572,0.328797871,0.025767458,0.140280887,0.056438477,-0.15096234,0.103797984,0.00252545,-8.85E-05,-0.017326681,0.001664465,-0.169766022,-0.088370824,-0.025713185,0.030445739,0.061674344,0.003083983,0.20455527,0.060054647,-0.053015026,-0.002782498,-0.054895361,0.006274022,-0.013869564,-0.03517229,-0.013819507,1.78E-06,0.006092596,-0.002392954,0.001499122,0.007168216,-4.62E-05,0.000481095,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5b-B5a-B5k-B5j,B5-2*,B5-4*,173185,0.216459145,-0.112915641,-0.016721193,-0.086235893,0.104958907,-0.019219732,0.008266547,0.01028823,-0.015908332,-0.000491572,0.119342829,-0.183948884,-0.035425056,0.081430717,0.015715277,-0.014234783,0.013921659,-0.027042847,-0.014234096,0.021823012,-0.008048866,-0.033911643,0.051445229,-0.019793757,-0.015583476,-0.054536557,0.0056022,-3.70E-06,-0.052828324,0.004072122,-0.004023705,0.008028994,-0.005233504,0.00675213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5ao,B5-1*,B5a*,173314,-0.477860557,-0.136058024,-0.233377126,0.268020221,0.175040098,-0.031335787,-0.037793722,-0.057299915,0.044736435,0.470871714,0.01345583,0.024360722,0.150484922,0.123385164,0.076733581,-0.015200558,-0.048098539,0.011691052,0.063617002,0.019884227,-0.027584194,0.003631676,-0.009790277,-0.004851134,0.027447946,-0.016204914,-0.015432298,1.13E-06,-0.000118265,0.00220025,-0.002480415,-0.00336791,0.00157815,-0.000207438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B7b,B5-1*,B5a*,173315,-0.475277359,-0.133475808,-0.225099398,0.231626719,0.142669984,-0.033093463,-0.016913421,-0.025004255,-0.019328034,-0.524578201,0.022621252,0.034165863,0.12963966,0.109351795,0.068852397,-0.016313349,-0.043286288,0.008158741,0.061679671,0.015950296,-0.026756433,0.002953917,-0.003004604,-0.004547438,0.022444646,-0.010869147,-0.012215045,8.98E-07,1.10E-05,0.001784056,-0.001939591,-0.002555228,0.001398463,-0.000183652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5b-B5d,B5-2*,B5-4*,173186,0.225202376,-0.220101032,0.107381433,0.02515165,-0.06157398,0.039063917,0.039528659,-0.000344866,0.013494208,-0.000596021,0.0847834,-0.021704896,0.093429998,0.008587756,-0.014128098,0.033616989,-0.050404578,-0.080269639,0.005452131,0.009865876,0.007112419,-0.001261098,-0.020479343,-0.002392975,0.012535559,0.008766058,0.021983429,-1.29E-07,0.041309264,-0.009080134,0.002860384,-0.005176376,0.001738776,-0.000308178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5c-B5a-B5e-B5h-B5b,B5-2*,B5-4*,173188,0.18068572,-0.201673031,0.072986722,-0.010980375,-0.056789748,-0.168571855,-0.019582179,-0.005244626,0.033477992,7.86E-06,0.001438566,0.029834597,-0.002307461,-0.004098541,-0.005027892,-0.029506975,0.039973713,0.079252792,-0.035359447,0.020599042,-0.076656554,-0.083288424,0.050209875,0.117433613,0.029743235,-0.005568791,-0.008788946,1.48E-06,0.002912177,7.86E-05,0.013033077,0.002692422,-0.001044773,-0.000323783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5b-B5f-B5e-B5d-B5c,B5-2*,B5-4*,173189,0.201358456,-0.18038425,0.043849429,-0.049088975,-0.025934279,-0.185358055,-0.050865172,-0.036695491,0.036220762,-0.000112236,0.100988635,0.080288274,-0.013796806,-0.012680829,0.024429715,-0.003000256,0.006901634,-0.014613872,0.010851943,-0.01316778,0.024709031,0.018336385,0.016997513,0.032533573,0.012337915,-0.023668979,0.004033527,1.48E-06,-0.005662419,-0.041949846,0.025197237,-0.025781927,0.001620582,0.005363883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5e-B5g-B5a-B5c,B5-1*,B5-4*,173190,0.171046605,-0.187659127,0.077326737,0.010992344,-0.082458423,-0.124585621,-0.013341556,-0.00493982,0.029970763,0.000399803,-0.077856597,0.135162897,-0.004615558,-0.000618447,-0.042886397,-0.022643453,0.007904226,0.173017087,-0.027299866,0.003952393,-0.04487771,-0.012317114,0.050255481,-0.032418205,0.001400252,-0.047144888,0.014352069,-1.65E-06,0.023230986,0.02094169,-0.014139991,0.006591343,-0.000610476,-0.00151407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5ae-B5d-B5a,B5-1*,B5-4*,173192,0.161161963,-0.182119382,0.057599696,0.036289074,-0.185628706,0.174755704,-0.084500571,-0.107981566,-0.010062748,0.000118354,0.001282266,0.078873986,0.029096884,-0.016144404,-0.060505282,0.014876008,-0.058003803,-0.058807574,0.01486577,0.001809596,0.004539233,-0.020180751,0.011034063,-0.009910648,0.022500344,0.015802127,-0.002827502,-7.26E-07,0.00156274,-0.001515602,-0.023600472,0.006321052,0.013133488,0.006609901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5ae,B5-1*,B5a*,175268,-0.424370453,-0.108855626,-0.201710404,-0.093244287,-0.336787716,0.274324902,-0.337507533,-0.301933031,-0.110020654,0.000725853,0.027554654,-0.091854675,-0.093563506,0.004435622,0.085559723,-0.024323626,0.063866788,0.066356262,-0.013645744,0.009693415,0.02783359,-0.003347089,-0.019836589,0.025601201,-0.002310124,0.011540951,0.018643551,-1.34E-06,0.001631845,-0.001726882,0.00035559,-0.003192488,-0.002641699,-0.000395113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5a/B5/B5p/B5ae-B5m,B5-1*,B5-3*,173233,0.111279393,0.239134081,-0.205834928,-0.085967382,-0.084611396,0.099938646,-0.04059283,0.014620781,0.080409672,-0.000128479,0.002736185,0.027555294,0.014306436,-0.051562306,-0.051575189,-0.008153538,0.011657594,-0.036710259,0.004174372,-0.024028568,-0.043857865,0.02209384,0.030951892,-0.012582471,0.016653129,0.006942761,-0.009709008,-9.64E-07,-0.013141996,0.03630292,0.020258914,-0.011524194,0.006994559,-0.008783165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5p-B5-B5a-B5bh-B5bj-B5bi-B5bk,B5-1*,B5-3*,173234,0.044618366,0.327464305,-0.089292103,0.059451619,-0.124190411,-0.092301121,0.070697435,-0.071991933,-0.009609289,-0.000603518,0.04526332,0.014812228,0.128397374,0.011500044,-0.105466064,0.118625822,0.066795343,0.051350318,0.023238909,0.114191547,0.065888628,-0.112970586,-0.022145015,-0.022670567,-0.03541298,0.031419972,-0.003846746,-4.61E-07,-0.009138554,0.010971564,0.009215214,-0.000851852,0.001326717,-0.000177382,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B19-B5bl-B5bm,B5-1*,B5-4*,173236,0.141692627,0.026971009,0.092169204,-0.1118975,0.149887203,0.077157125,-0.066211423,0.051122171,-0.025662813,0.000491997,-0.09767699,0.071750057,0.033390362,-0.008606025,0.031195328,-0.166993447,0.015014277,-0.032910875,-0.034166703,0.108242935,0.02493905,0.031067156,0.018316549,0.000575296,0.008311765,0.013371864,0.021886889,-2.84E-06,-0.017820772,-0.003368272,0.004153242,-0.005585367,0.005050587,0.000205752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5/B19/B5p-B5a-B5bn-B5bk-B19ac,B5/B19,B5-3*,173237,0.004766396,0.374581565,0.137940312,0.04272548,-0.028573292,-0.070098415,-0.042415216,-0.02184247,-0.012887222,-0.000583577,0.050979616,0.018952117,0.014035854,0.007763555,-0.019591822,-0.043321647,-0.083666662,0.01072053,-0.048372901,0.036518969,-0.031897328,-0.026064869,-0.028852102,-0.017852486,0.06298237,0.026894381,0.015381073,-1.83E-06,0.000584233,0.005403775,-0.008120656,0.010862257,-0.004722127,-0.000670629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5p-B5bk-B5bn-B19,B5-1*,B5-3*,173238,0.097325649,0.311368573,0.092117588,0.037783361,-0.014531691,-0.050454901,-0.007822107,-0.019043709,-0.025123223,0.00049653,0.016633508,0.019237563,-0.033629124,0.060274543,0.042470211,-0.046707385,-0.0795142,-0.008491905,-0.020484263,-0.002425985,0.004429504,-0.013818506,-0.010827773,-0.009944524,-0.024838381,-0.01808714,0.026961615,-3.83E-07,0.026157954,-0.012413844,0.023758194,-0.009272128,0.009611294,0.006130877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5a-B5bm-B5bl,B5-1*,B5-4*,173239,0.198686575,-0.038863777,-0.058977791,-0.100094232,0.120765714,0.080853234,0.005850429,0.034822814,-0.030932293,0.00071592,-0.12976514,0.063880212,0.033877984,-0.009916844,0.058649241,-0.16869732,0.081881099,-0.033276806,-0.007754663,0.068643071,0.09718866,0.001336591,0.014378935,-0.000289379,-0.010687515,-0.00796667,-0.040909264,4.59E-06,0.020774508,-0.001901003,-0.001054678,0.01305413,-0.006027122,-0.001226414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5/B5a-B5p-B5bn-B5bk,B5-1*,B5-3*,173240,0.162014624,0.284480286,-0.016867014,0.054634254,-0.049564552,-0.050002193,0.054772215,-0.035007022,-0.034715614,0.000619003,-0.004445262,-0.008392775,-0.030626324,0.057910219,0.084739849,-0.045890984,-0.081291686,0.002619851,-0.036043811,-0.033872184,-0.000336489,-0.004685479,-0.017307463,0.002987607,-0.005113831,-0.010097,-0.012495128,1.49E-06,0.000883991,-0.003592346,-0.012519762,0.010218253,-0.014457242,-0.001543254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5a/B5p/B5-B5m,B5-1*,B5-3*,173241,0.145063788,0.247559679,-0.17404847,-0.067125993,-0.007613808,0.035489171,0.048401411,0.08350539,0.081702937,0.000369998,-0.030529717,0.023222415,0.032173803,-0.028297619,-0.016353744,0.007275018,0.095074719,-0.018740159,0.04438984,-0.046825602,0.007595873,-0.011078853,0.023627189,-0.007041151,0.014331822,0.027692383,-0.021011011,3.09E-06,0.021853647,-0.001138688,-0.00796771,-0.003944974,0.003778566,0.002620079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5/B19-B5p-B19ac-B5bn-B5bk,B5/B19,B5-3*,173242,-0.076650019,0.376669565,0.232543823,0.137743869,-0.051482736,-0.023700316,-0.019848742,0.025280475,-0.005090836,0.000251692,0.007845258,-0.01850742,-0.045163691,-0.000815202,0.027481444,-0.020237139,0.009941769,-0.014216885,0.009797722,0.000404294,-0.020364779,0.003993815,0.02724334,-0.010999404,0.018164176,0.032996825,0.004641688,-1.36E-06,-0.022502785,0.000777934,-0.022267327,-0.030872417,-0.018964147,-0.001127339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5a/B5/B5j-B5bo-B5bp,B5-2*,B5-4*,173243,0.132018015,0.034339473,-0.152990465,-0.140989916,0.177484006,0.035662764,-0.021192065,0.008487563,-0.039614995,-0.000478968,-0.037087641,-0.131491607,0.021092886,-0.148236677,-0.073516401,-0.051841937,-0.163708147,0.11877057,0.081450916,-0.061156583,0.084880394,-0.016236929,0.023038471,-0.00170114,0.006078551,-0.020150412,0.010142318,-3.58E-06,-0.019892565,0.023351427,-0.007506402,-0.00910433,0.004498262,0.002284552,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5p-B5bn-B5bk-B5bq,B5-1*,B5-3*,173244,0.022746785,0.347500707,0.045033482,0.218421311,-0.169577774,-0.05783342,0.114790445,-0.022880842,-0.018074136,0.000555371,-0.004489298,-0.041968436,-0.052620707,0.033781805,0.096403175,0.003887393,0.026235854,0.008059425,0.013111406,-0.064752469,0.043185252,0.024076256,-0.00505269,0.040272276,-0.046335846,-0.04290581,-0.024199492,2.18E-06,0.008863131,0.0048734,0.003657824,0.011429176,0.004893917,0.001533444,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5/B19-B5p-B5bn-B5bk-B19ac-B5bq,B5/B19,B5-3*,173245,-0.09812039,0.406020279,0.202486528,0.155743229,-0.070371677,-0.040365527,-0.005352734,0.014228579,-0.01255697,-0.000232095,0.018996781,-0.052051314,-0.048668955,-0.016348159,0.037308286,-0.063046807,-0.048747805,0.00241851,-0.024530586,-0.00843251,-0.005905587,0.020491611,-0.013374581,0.00387787,0.032603306,0.011830588,0.005617283,-1.37E-06,-0.00055941,0.011429095,0.015092206,0.014239039,0.015179333,-0.002179011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5p/B5-B5a-B5bk,B5-1*,B5-3*,173246,0.174163308,0.273333124,-0.065853219,0.018240636,-0.033488287,-0.031031005,0.062179478,-0.034059247,-0.027048091,0.000580848,-0.026323714,0.00139012,0.042089484,0.026639802,0.02557204,0.030871027,0.029839471,0.004354159,0.021793021,0.001389642,0.015754211,0.007350473,0.012269548,0.02032844,-0.054881639,-0.015109105,-0.016716945,2.18E-06,-0.012798612,-0.020425649,-0.010457353,-0.018994615,0.003458523,-0.003413984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5/B5br-B5a,B5-1*,B5-4*,173247,0.2082058,-0.078204242,-0.028548559,-0.066032998,0.074063477,0.09360837,0.026130771,0.025295814,-0.029820332,0.000562109,-0.11556559,0.035809484,-0.01922427,0.136689942,-0.106524828,-0.010505531,-0.029808211,0.058971503,-0.021823249,-0.008148587,-0.051077942,0.072618405,-0.051108198,0.086044549,-0.050168942,0.05480707,-0.028749791,1.75E-06,-0.006131918,0.022021502,-0.00872427,-0.008998089,0.003097209,0.002615721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B5-B5f-B5a-B5b-B5g,B5-2*,B5-4*,173248,0.206585984,-0.167893273,0.055357262,-0.028238037,0.01438786,-0.07160633,0.002278424,-0.007761098,0.017060595,-0.000465171,0.142978227,0.01770836,0.012128165,0.018318794,0.060025917,-0.020653928,0.069181492,0.112304483,-0.036361731,0.011122221,-0.035707296,0.064366922,-0.040832109,-0.119335036,-0.061866242,0.013283792,0.009192304,-6.26E-07,0.005839951,0.010712562,0.003411291,-0.004617519,0.002107096,0.002209329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
