sample_num,full_site,site,zone,site_zone,sample,spp,year,sequencing,time,season
1,E Sambo,LK1,O,LK1-O,LK1-O_1,ssid,2015,ITS2,Pre,Spring
2,E Sambo,LK1,O,LK1-O,LK1-O_2,ssid,2015,ITS2,Pre,Spring
3,E Sambo,LK1,O,LK1-O,LK1-O_3,ssid,2015,ITS2,Pre,Spring
4,E Sambo,LK1,O,LK1-O,LK1-O_4,ssid,2015,ITS2,Pre,Spring
5,E Sambo,LK1,O,LK1-O,LK1-O_5,ssid,2015,ITS2,Pre,Spring
6,E Sambo,LK1,O,LK1-O,LK1-O_6,ssid,2015,ITS2,Pre,Spring
7,E Sambo,LK1,O,LK1-O,LK1-O_7,ssid,2015,ITS2,Pre,Spring
8,E Sambo,LK1,O,LK1-O,LK1-O_8,ssid,2015,ITS2,Pre,Spring
10,E Sambo,LK1,O,LK1-O,LK1-O_10,ssid,2015,ITS2,Pre,Spring
21,E Sambo,LK1,O,LK1-O,LK1-O_21,srad,2015,ITS2,Pre,Spring
22,E Sambo,LK1,O,LK1-O,LK1-O_22,srad,2015,ITS2,Pre,Spring
23,E Sambo,LK1,O,LK1-O,LK1-O_23,srad,2015,ITS2,Pre,Spring
24,E Sambo,LK1,O,LK1-O,LK1-O_24,srad,2015,ITS2,Pre,Spring
26,E Sambo,LK1,O,LK1-O,LK1-O_26,srad,2015,ITS2,Pre,Spring
27,E Sambo,LK1,O,LK1-O,LK1-O_27,srad,2015,ITS2,Pre,Spring
30,E Sambo,LK1,O,LK1-O,LK1-O_30,srad,2015,ITS2,Pre,Spring
31,Rocky Top,UK1,O,UK1-O,UK1-O_31,ssid,2015,ITS2,Pre,Spring
32,Rocky Top,UK1,O,UK1-O,UK1-O_32,ssid,2015,ITS2,Pre,Spring
33,Rocky Top,UK1,O,UK1-O,UK1-O_33,ssid,2015,ITS2,Pre,Spring
34,Rocky Top,UK1,O,UK1-O,UK1-O_34,ssid,2015,ITS2,Pre,Spring
35,Rocky Top,UK1,O,UK1-O,UK1-O_35,ssid,2015,ITS2,Pre,Spring
36,Rocky Top,UK1,O,UK1-O,UK1-O_36,ssid,2015,ITS2,Pre,Spring
37,Rocky Top,UK1,O,UK1-O,UK1-O_37,ssid,2015,ITS2,Pre,Spring
38,Rocky Top,UK1,O,UK1-O,UK1-O_38,ssid,2015,ITS2,Pre,Spring
39,Rocky Top,UK1,O,UK1-O,UK1-O_39,ssid,2015,ITS2,Pre,Spring
40,Rocky Top,UK1,O,UK1-O,UK1-O_40,ssid,2015,ITS2,Pre,Spring
51,Rocky Top,UK1,O,UK1-O,UK1-O_51,srad,2015,ITS2,Pre,Spring
54,Rocky Top,UK1,O,UK1-O,UK1-O_54,srad,2015,ITS2,Pre,Spring
56,Rocky Top,UK1,O,UK1-O,UK1-O_56,srad,2015,ITS2,Pre,Spring
57,Rocky Top,UK1,O,UK1-O,UK1-O_57,srad,2015,ITS2,Pre,Spring
58,Rocky Top,UK1,O,UK1-O,UK1-O_58,srad,2015,ITS2,Pre,Spring
61,Cheeca Rocks,UK1,I,UK1-I,UK1-I_61,ssid,2015,ITS2,Pre,Spring
62,Cheeca Rocks,UK1,I,UK1-I,UK1-I_62,ssid,2015,ITS2,Pre,Spring
63,Cheeca Rocks,UK1,I,UK1-I,UK1-I_63,ssid,2015,ITS2,Pre,Spring
64,Cheeca Rocks,UK1,I,UK1-I,UK1-I_64,ssid,2015,ITS2,Pre,Spring
65,Cheeca Rocks,UK1,I,UK1-I,UK1-I_65,ssid,2015,ITS2,Pre,Spring
66,Cheeca Rocks,UK1,I,UK1-I,UK1-I_66,ssid,2015,ITS2,Pre,Spring
67,Cheeca Rocks,UK1,I,UK1-I,UK1-I_67,ssid,2015,ITS2,Pre,Spring
68,Cheeca Rocks,UK1,I,UK1-I,UK1-I_68,ssid,2015,ITS2,Pre,Spring
69,Cheeca Rocks,UK1,I,UK1-I,UK1-I_69,ssid,2015,ITS2,Pre,Spring
70,Cheeca Rocks,UK1,I,UK1-I,UK1-I_70,ssid,2015,ITS2,Pre,Spring
81,Cheeca Rocks,UK1,I,UK1-I,UK1-I_81,srad,2015,ITS2,Pre,Spring
